Age,Intervention,Metric,value oct,value nov,value dec,value jan,value feb,value mar,value apr,value may,value june,value jul,value aug,value sept
0,no intervention,Outpatient,1804.870556,5719.37215,15101.74256,16235.12756,14120.83905,8759.282032,2338.049527,658.1206446,288.5605903,208.1686224,225.9885044,497.13421
1,no intervention,Outpatient,1804.870556,5719.37215,15101.74256,16235.12756,14120.83905,8759.282032,2338.049527,658.1206446,288.5605903,208.1686224,225.9885044,497.13421
2,no intervention,Outpatient,1804.870556,5719.37215,15101.74256,16235.12756,14120.83905,8759.282032,2338.049527,658.1206446,288.5605903,208.1686224,225.9885044,497.13421
3,no intervention,Outpatient,1804.870556,5719.37215,15101.74256,16235.12756,14120.83905,8759.282032,2338.049527,658.1206446,288.5605903,208.1686224,225.9885044,497.13421
4,no intervention,Outpatient,1804.870556,5719.37215,15101.74256,16235.12756,14120.83905,8759.282032,2338.049527,658.1206446,288.5605903,208.1686224,225.9885044,497.13421
5,no intervention,Outpatient,1804.870556,5719.37215,15101.74256,16235.12756,14120.83905,8759.282032,2338.049527,658.1206446,288.5605903,208.1686224,225.9885044,497.13421
6,no intervention,Outpatient,2055.547022,6513.729393,17199.2068,18490.00638,16082.0667,9975.848981,2662.778628,749.5262897,328.6384501,237.080931,257.3757967,566.1806281
7,no intervention,Outpatient,2055.547022,6513.729393,17199.2068,18490.00638,16082.0667,9975.848981,2662.778628,749.5262897,328.6384501,237.080931,257.3757967,566.1806281
8,no intervention,Outpatient,2055.547022,6513.729393,17199.2068,18490.00638,16082.0667,9975.848981,2662.778628,749.5262897,328.6384501,237.080931,257.3757967,566.1806281
9,no intervention,Outpatient,2055.547022,6513.729393,17199.2068,18490.00638,16082.0667,9975.848981,2662.778628,749.5262897,328.6384501,237.080931,257.3757967,566.1806281
10,no intervention,Outpatient,2055.547022,6513.729393,17199.2068,18490.00638,16082.0667,9975.848981,2662.778628,749.5262897,328.6384501,237.080931,257.3757967,566.1806281
11,no intervention,Outpatient,2055.547022,6513.729393,17199.2068,18490.00638,16082.0667,9975.848981,2662.778628,749.5262897,328.6384501,237.080931,257.3757967,566.1806281
0,RSVpreF,Outpatient,1444.843502,4578.498808,12089.31828,12996.621,11304.08077,7012.021826,1871.666451,526.841847,230.9998868,166.6441288,180.909385,397.9682259
1,RSVpreF,Outpatient,1498.15869,4747.44688,12535.418,13476.20047,11721.20497,7270.767676,1940.731542,546.2824798,239.5238565,172.7933505,187.5849992,412.6533809
2,RSVpreF,Outpatient,1565.082683,4959.519274,13095.38553,14078.19354,12244.80093,7595.558904,2027.425631,570.6853717,250.2235861,180.512173,195.9645769,431.08695
3,RSVpreF,Outpatient,1618.39787,5128.467346,13541.48524,14557.77301,12661.92513,7854.304755,2096.490723,590.1260046,258.7475558,186.6613947,202.6401911,445.772105
4,RSVpreF,Outpatient,1647.517383,5220.742844,13785.13451,14819.70814,12889.74865,7995.625707,2134.212466,600.744025,263.4031494,190.0199562,206.286256,453.7927943
5,RSVpreF,Outpatient,1804.870556,5719.37215,15101.74256,16235.12756,14120.83905,8759.282032,2338.049527,658.1206446,288.5605903,208.1686224,225.9885044,497.13421
6,RSVpreF,Outpatient,2055.547022,6513.729393,17199.2068,18490.00638,16082.0667,9975.848981,2662.778628,749.5262897,328.6384501,237.080931,257.3757967,566.1806281
7,RSVpreF,Outpatient,2055.547022,6513.729393,17199.2068,18490.00638,16082.0667,9975.848981,2662.778628,749.5262897,328.6384501,237.080931,257.3757967,566.1806281
8,RSVpreF,Outpatient,2055.547022,6513.729393,17199.2068,18490.00638,16082.0667,9975.848981,2662.778628,749.5262897,328.6384501,237.080931,257.3757967,566.1806281
9,RSVpreF,Outpatient,2055.547022,6513.729393,17199.2068,18490.00638,16082.0667,9975.848981,2662.778628,749.5262897,328.6384501,237.080931,257.3757967,566.1806281
