"RiskFactor","RR_display","PAF_display"
"Acetaminophen, prenatal","1.25 (95% CI 1.12–1.34)","14.0% (7.1% to 18.4%)"
"Antibiotic use, prenatal","1.18 (95% CI 1.12–1.24)","6.7% (4.5% to 8.8%)"
"Cesarean section","1.14 (95% CI 1.13–1.26)","4.4% (3.9% to 7.6%)"
"Folic acid, maternal","1.01 (95% CI 0.80–1.27)","0.4% (-8.9% to 9.6%)"
"Infection, antenatal","1.48 (95% CI 1.21–1.78)","16.1% (7.9% to 23.7%)"
"Prenatal maternal stress","1.39 (95% CI 1.22–1.59)","9.0% (5.3% to 12.8%)"
"Preterm delivery","1.07 (95% CI 1.07–1.07)","0.6% (0.6% to 0.7%)"
"Smoking, prenatal","1.72 (95% CI 1.31–2.23)","5.7% (2.5% to 9.4%)"
"Vitamin D sufficient in utero","0.85 (95% CI 0.72–1.01)","-11.9% (-25.4% to 0.7%)"
"Vitamin E maternal intake","0.98 (95% CI 0.96–0.99)","-0.4% (-0.7% to -0.2%)"
"Acetaminophen, infant","1.41 (95% CI 1.32–1.49)","26.5% (21.8% to 29.9%)"
"Antibiotic use, infant","1.24 (95% CI 1.11–1.38)","13.7% (6.7% to 20.0%)"
"Breastfeeding, ever","0.89 (95% CI 0.83–0.95)","-10.0% (-15.8% to -3.9%)"
"RSV infection, infant","3.07 (95% CI 2.70–3.48)","29.3% (25.4% to 33.2%)"
"Allergic rhinitis, mold","1.08 (95% CI 0.91–1.28)","0.3% (-0.4% to 1.2%)"
"Food sensitization <=2 years","2.42 (95% CI 1.91–3.11)","7.6% (5.0% to 10.9%)"
"Fruit intake, adequate","0.98 (95% CI 0.96–1.00)","-0.9% (-1.9% to 0.0%)"
"Obesity, BMI >95th percentile","1.40 (95% CI 1.32–1.50)","3.7% (2.9% to 4.4%)"
"Overweight, BMI 85-94th percentile","1.21 (95% CI 1.15–1.26)","2.8% (2.1% to 3.5%)"
"Rhinovirus-induced wheezing <=3 years","1.84 (95% CI 1.54–2.20)","11.7% (7.8% to 16.0%)"
"Traffic pollution, average","1.18 (95% CI 1.11–1.26)","0.7% (0.4% to 1.0%)"
"Traffic pollution, black carbon","1.18 (95% CI 1.05–1.34)","0.7% (0.2% to 1.3%)"
"Traffic pollution, nitrogen dioxide","1.08 (95% CI 0.96–1.21)","0.3% (-0.1% to 0.8%)"
"Traffic pollution, particulate matter","1.13 (95% CI 1.00–1.27)","0.5% (0.0% to 1.0%)"
"Vegetable intake, adequate","0.95 (95% CI 0.93–0.98)","-1.0% (-1.6% to -0.4%)"
"Gas stove cooking","1.28 (95% CI 1.16–1.42)","2.6% (1.5% to 3.8%)"
"H pylori","0.89 (95% CI 0.78–1.02)","-1.9% (-3.9% to 0.3%)"
"Omega-3 fatty acids","0.94 (95% CI 0.80–1.12)","-0.1% (-0.2% to 0.1%)"
"Pets, cats","1.00 (95% CI 0.80–1.25)","0.0% (-6.6% to 7.0%)"
"Pets, dogs","0.79 (95% CI 0.60–1.03)","-8.5% (-17.0% to 1.0%)"
"Physical activity, inadequate","1.28 (95% CI 0.95–1.71)","14.0% (-2.7% to 29.1%)"
"Probiotics","0.96 (95% CI 0.86–1.06)","-0.0% (-0.1% to 0.0%)"
"Secondhand smoke","1.28 (95% CI 1.21–1.37)","10.3% (7.7% to 13.0%)"
