"RiskFactor","OR","OR_l","OR_h","Prevalence","PAF","PAF_l","PAF_h","Prevalence_percent","PAF_percent","PAF_l_percent","PAF_h_percent"
"Acetaminophen, prenatal",1.28,1.13,1.39,0.655,0.154977184383978,0.102350255396023,0.206147797771488,65.5,15.4977184383978,10.2350255396023,20.6147797771488
"Antibiotic use, prenatal",1.2,1.13,1.27,0.4,0.0740740740740741,0.0535583004677804,0.0940809042804055,40,7.40740740740741,5.35583004677804,9.40809042804055
"Cesarean section",1.16,1.14,1.29,0.32,0.0487062404870624,0.0315676704798978,0.0661839068517191,32,4.87062404870624,3.15676704798978,6.61839068517191
"Folic acid, maternal",1.01,0.78,1.3,0.4,0.00398406374501992,-0.0800668601836199,0.0927686644013792,40,0.398406374501992,-8.00668601836199,9.27686644013792
"Infection, antenatal",1.55,1.24,1.92,0.4,0.180327868852459,0.104405062748826,0.256740617836919,40,18.0327868852459,10.4405062748826,25.6740617836919
"Prenatal maternal stress",1.45,1.25,1.68,0.25,0.101123595505618,0.0660576211778406,0.138356745887935,25,10.1123595505618,6.60576211778406,13.8356745887935
"Preterm delivery",1.074,1.072,1.075,0.0963,0.00707577660078747,0.00695683454125042,0.0071967527782896,9.63,0.707577660078747,0.695683454125042,0.71967527782896
"Smoking, prenatal",1.85,1.35,2.53,0.084,0.0666417771140564,0.0347470756448749,0.106154392117002,8.4,6.66417771140564,3.47470756448749,10.6154392117002
"Vitamin D sufficient in utero",0.84,0.7,1.01,0.72,-0.130198915009042,-0.251702826952635,-0.0154669637281966,72,-13.0198915009042,-25.1702826952635,-1.54669637281966
"Vitamin E maternal intake",0.98,0.96,0.99,0.198,-0.00397574394602627,-0.00647443392781376,-0.00147476447856849,19.8,-0.397574394602627,-0.647443392781376,-0.147476447856849
"Acetaminophen, infant",1.47,1.36,1.56,0.878,0.292115583367548,0.254293402898086,0.327556220948243,87.8,29.2115583367548,25.4293402898086,32.7556220948243
"Antibiotic use, infant",1.27,1.12,1.43,0.66,0.151247665931081,0.0894087868899482,0.212370383287919,66,15.1247665931081,8.94087868899482,21.2370383287919
"Breastfeeding, ever",0.88,0.82,0.95,0.819,-0.108991704742049,-0.163676869137471,-0.0547481979505548,81.9,-10.8991704742049,-16.3676869137471,-5.47481979505548
"RSV infection, infant",3.84,3.23,4.58,0.2,0.362244897959184,0.316666567051966,0.409052555341918,20,36.2244897959184,31.6666567051966,40.9052555341918
"Allergic rhinitis, mold",1.09,0.9,1.32,0.043,0.00385508083716019,-0.00326002412281884,0.0119349305452729,4.3,0.385508083716019,-0.326002412281884,1.19349305452729
"Food sensitization <=2 years",2.8,2.1,3.9,0.058,0.0945309670409272,0.0639965793653322,0.132708708497111,5.8,9.45309670409272,6.39965793653321,13.2708708497111
"Fruit intake, adequate",0.98,0.96,1,0.498,-0.0100601995878954,-0.0183546687878163,-0.00173987016054184,49.8,-1.00601995878954,-1.83546687878163,-0.173987016054184
"Obesity, BMI >95th percentile",1.46,1.36,1.57,0.094,0.0414477972470381,0.0341666004874797,0.0492965579550791,9.4,4.14477972470381,3.41666004874797,4.92965579550791
"Overweight, BMI 85-94th percentile",1.23,1.17,1.29,0.139,0.0309795827398083,0.0245280290601831,0.0378093217224314,13.9,3.09795827398083,2.45280290601831,3.78093217224314
"Rhinovirus-induced wheezing <=3 years",2,1.62,2.49,0.158,0.136442141623489,0.0950932874561821,0.181641709324544,15.8,13.6442141623489,9.50932874561821,18.1641709324544
"Traffic pollution, average",1.2,1.12,1.29,0.038,0.0075426756649464,0.00502600880753027,0.0103139955754818,3.8,0.75426756649464,0.502600880753027,1.03139955754818
"Traffic pollution, black carbon",1.2,1.05,1.38,0.038,0.0075426756649464,0.00267498053069637,0.0129686966570876,3.8,0.75426756649464,0.267498053069637,1.29686966570876
"Traffic pollution, nitrogen dioxide",1.09,0.96,1.23,0.038,0.00340834346534851,-0.000704653851412671,0.00793313855423261,3.8,0.340834346534851,-0.0704653851412671,0.793313855423261
"Traffic pollution, particulate matter",1.14,1,1.3,0.038,0.00529184737198106,0.000825189987770449,0.0102310982659029,3.8,0.529184737198106,0.0825189987770449,1.02310982659029
"Vegetable intake, adequate",0.95,0.92,0.98,0.217,-0.010969013799727,-0.0165810285668541,-0.00529438104046241,21.7,-1.0969013799727,-1.65810285668541,-0.529438104046241
"Gas stove cooking",1.32,1.18,1.48,0.093,0.028899937849596,0.0181058403084671,0.0399925374158336,9.3,2.8899937849596,1.81058403084671,3.99925374158336
"H pylori",0.88,0.76,1.02,0.167,-0.0204498142781338,-0.0387173976299391,-0.000666712841501987,16.7,-2.04498142781338,-3.87173976299391,-0.0666712841501987
"Omega-3 fatty acids",0.94,0.78,1.13,0.011,-0.000660435887685873,-0.00214195976242736,0.0011133241211165,1.1,-0.0660435887685873,-0.214195976242736,0.11133241211165
"Pets, cats",1,0.78,1.28,0.304,0,-0.0610422666457016,0.0663194749175681,30.4,0,-6.10422666457016,6.63194749175681
"Pets, dogs",0.77,0.58,1.03,0.365,-0.0916434692429453,-0.167794487010866,-0.00858722955545293,36.5,-9.16434692429453,-16.7794487010866,-0.858722955545293
"Physical activity, inadequate",1.32,0.95,1.84,0.574,0.155177074885104,0.00295669394740158,0.299462401284073,57.4,15.5177074885104,0.295669394740158,29.9462401284073
"Probiotics",0.96,0.85,1.07,0.005,-0.0002000400080016,-0.000646611310717407,0.000278682015096813,0.5,-0.02000400080016,-0.0646611310717407,0.0278682015096813
"Secondhand smoke",1.32,1.23,1.42,0.406,0.114981591617106,0.0890870245001428,0.140195172456569,40.6,11.4981591617106,8.90870245001429,14.0195172456569
