"RiskFactor","OR","OR_l","OR_h","Prevalence","PAF","PAF_l","PAF_h","PAF_percent","PAF_l_percent","PAF_h_percent","PAF_display"
"Acetaminophen, prenatal",1.28,1.13,1.39,0.655,0.154977184383978,0.0784684145049071,0.203472858337648,15.4977184383978,7.84684145049071,20.3472858337648,"15.5% (7.8% to 20.3%)"
"Antibiotic use, prenatal",1.2,1.13,1.27,0.4,0.0740740740740741,0.0494296577946768,0.0974729241877256,7.40740740740741,4.94296577946768,9.74729241877256,"7.4% (4.9% to 9.7%)"
"Cesarean section",1.16,1.14,1.29,0.32,0.0487062404870624,0.0428790199081164,0.0849194729136164,4.87062404870624,4.28790199081164,8.49194729136164,"4.9% (4.3% to 8.5%)"
"Folic acid, maternal",1.01,0.78,1.3,0.4,0.00398406374501992,-0.0964912280701754,0.107142857142857,0.398406374501992,-9.64912280701754,10.7142857142857,"0.4% (-9.6% to 10.7%)"
"Infection, antenatal",1.55,1.24,1.92,0.4,0.180327868852459,0.0875912408759124,0.269005847953216,18.0327868852459,8.75912408759124,26.9005847953216,"18.0% (8.8% to 26.9%)"
"Prenatal maternal stress",1.45,1.25,1.68,0.25,0.101123595505618,0.0588235294117647,0.145299145299145,10.1123595505618,5.88235294117647,14.5299145299145,"10.1% (5.9% to 14.5%)"
"Preterm delivery",1.074,1.072,1.075,0.0963,0.00707577660078747,0.00688585622726266,0.00717070955027315,0.707577660078747,0.688585622726266,0.717070955027315,"0.7% (0.7% to 0.7%)"
"Smoking, prenatal",1.85,1.35,2.53,0.084,0.0666417771140564,0.0285603264037303,0.113883670648283,6.66417771140564,2.85603264037303,11.3883670648283,"6.7% (2.9% to 11.4%)"
"Vitamin D sufficient in utero",0.84,0.7,1.01,0.72,-0.130198915009042,-0.275510204081633,0.00714853057982526,-13.0198915009042,-27.5510204081633,0.714853057982526,"-13.0% (-27.6% to 0.7%)"
"Vitamin E maternal intake",0.98,0.96,0.99,0.198,-0.00397574394602627,-0.00798322715910008,-0.00198392817779203,-0.397574394602627,-0.798322715910008,-0.198392817779203,"-0.4% (-0.8% to -0.2%)"
"Acetaminophen, infant",1.47,1.36,1.56,0.878,0.292115583367548,0.240167770956173,0.329614930816261,29.2115583367548,24.0167770956173,32.9614930816261,"29.2% (24.0% to 33.0%)"
"Antibiotic use, infant",1.27,1.12,1.43,0.66,0.151247665931081,0.0733876945885842,0.221062470789843,15.1247665931081,7.33876945885842,22.1062470789843,"15.1% (7.3% to 22.1%)"
"Breastfeeding, ever",0.88,0.82,0.95,0.819,-0.108991704742049,-0.172910460015482,-0.0426985037276472,-10.8991704742049,-17.2910460015482,-4.26985037276472,"-10.9% (-17.3% to -4.3%)"
"RSV infection, infant",3.84,3.23,4.58,0.2,0.362244897959184,0.308437067773167,0.417249417249417,36.2244897959184,30.8437067773167,41.7249417249417,"36.2% (30.8% to 41.7%)"
"Allergic rhinitis, mold",1.09,0.9,1.32,0.043,0.00385508083716019,-0.00431856985035653,0.0135732323232323,0.385508083716019,-0.431856985035653,1.35732323232323,"0.4% (-0.4% to 1.4%)"
"Food sensitization <=2 years",2.8,2.1,3.9,0.058,0.0945309670409272,0.0599736792630194,0.143982194829652,9.45309670409272,5.99736792630194,14.3982194829652,"9.5% (6.0% to 14.4%)"
"Fruit intake, adequate",0.98,0.96,1,0.498,-0.0100601995878954,-0.0203248714390662,0,-1.00601995878954,-2.03248714390662,0,"-1.0% (-2.0% to 0.0%)"
"Obesity, BMI >95th percentile",1.46,1.36,1.57,0.094,0.0414477972470381,0.0327323376924863,0.0508551794832856,4.14477972470381,3.27323376924863,5.08551794832856,"4.1% (3.3% to 5.1%)"
"Overweight, BMI 85-94th percentile",1.23,1.17,1.29,0.139,0.0309795827398083,0.0230845129587839,0.0387480654804818,3.09795827398083,2.30845129587839,3.87480654804818,"3.1% (2.3% to 3.9%)"
"Rhinovirus-induced wheezing <=3 years",2,1.62,2.49,0.158,0.136442141623489,0.0892200080148639,0.190558676401548,13.6442141623489,8.92200080148639,19.0558676401548,"13.6% (8.9% to 19.1%)"
"Traffic pollution, average",1.2,1.12,1.29,0.038,0.0075426756649464,0.00453930078840488,0.0108998832861862,0.75426756649464,0.453930078840488,1.08998832861862,"0.8% (0.5% to 1.1%)"
"Traffic pollution, black carbon",1.2,1.05,1.38,0.038,0.0075426756649464,0.00189639684599262,0.0142344544773471,0.75426756649464,0.189639684599262,1.42344544773471,"0.8% (0.2% to 1.4%)"
"Traffic pollution, nitrogen dioxide",1.09,0.96,1.23,0.038,0.00340834346534851,-0.00152231391715408,0.00866427424311517,0.340834346534851,-0.152231391715408,0.866427424311517,"0.3% (-0.2% to 0.9%)"
"Traffic pollution, particulate matter",1.14,1,1.3,0.038,0.00529184737198106,0,0.0112715048447696,0.529184737198106,0,1.12715048447696,"0.5% (0.0% to 1.1%)"
"Vegetable intake, adequate",0.95,0.92,0.98,0.217,-0.010969013799727,-0.0176666938044452,-0.00435891770283029,-1.0969013799727,-1.76666938044452,-0.435891770283029,"-1.1% (-1.8% to -0.4%)"
"Gas stove cooking",1.32,1.18,1.48,0.093,0.028899937849596,0.0164643861754234,0.0427324245673151,2.8899937849596,1.64643861754234,4.27324245673151,"2.9% (1.6% to 4.3%)"
"H pylori",0.88,0.76,1.02,0.167,-0.0204498142781338,-0.0417534794566214,0.00332888153567086,-2.04498142781338,-4.17534794566214,0.332888153567086,"-2.0% (-4.2% to 0.3%)"
"Omega-3 fatty acids",0.94,0.78,1.13,0.011,-0.000660435887685873,-0.00242587060686862,0.00142795802003135,-0.0660435887685873,-0.242587060686862,0.142795802003135,"-0.1% (-0.2% to 0.1%)"
"Pets, cats",1,0.78,1.28,0.304,0,-0.0716735253772291,0.0784429371866706,0,-7.16735253772291,7.84429371866706,"0.0% (-7.2% to 7.8%)"
"Pets, dogs",0.77,0.58,1.03,0.365,-0.0916434692429453,-0.181055863942365,0.0108313962114843,-9.16434692429453,-18.1055863942365,1.08313962114843,"-9.2% (-18.1% to 1.1%)"
"Physical activity, inadequate",1.32,0.95,1.84,0.574,0.155177074885104,-0.0295480284155256,0.325309008474119,15.5177074885104,-2.95480284155256,32.5309008474119,"15.5% (-3.0% to 32.5%)"
"Probiotics",0.96,0.85,1.07,0.005,-0.0002000400080016,-0.000750562922191644,0.000349877542859999,-0.02000400080016,-0.0750562922191644,0.0349877542859999,"-0.0% (-0.1% to 0.0%)"
"Secondhand smoke",1.32,1.23,1.42,0.406,0.114981591617106,0.0854048912546416,0.145678843590883,11.4981591617106,8.54048912546416,14.5678843590883,"11.5% (8.5% to 14.6%)"
