"RiskFactor","OR","OR_l","OR_h","RR","RR_l","RR_h","Prevalence","PAF","PAF_l","PAF_h","PAF_percent","PAF_l_percent","PAF_h_percent","PAF_display"
"Acetaminophen, prenatal",1.28,1.13,1.39,1.24921923797626,1.11721901447441,1.34387810348828,0.655,0.140331141652057,0.0713038547170462,0.18383347652598,14.0331141652057,7.13038547170462,18.383347652598,"14.0% (7.1% to 18.4%)"
"Antibiotic use, prenatal",1.2,1.13,1.27,1.17924528301887,1.11721901447441,1.24052512307572,0.4,0.0669014084507042,0.0447876214509134,0.0877660711994411,6.69014084507042,4.47876214509134,8.77660711994411,"6.7% (4.5% to 8.8%)"
"Cesarean section",1.16,1.14,1.29,1.1438939728621,1.12612612612613,1.25789843201498,0.32,0.0440191618500597,0.0387945964669206,0.076235937081139,4.40191618500597,3.87945964669206,7.6235937081139,"4.4% (3.9% to 7.6%)"
"Folic acid, maternal",1.01,0.78,1.3,1.00911198145632,0.795398923152227,1.26656274356976,0.4,0.00363155631301471,-0.0891353022710311,0.0963515988167348,0.363155631301471,-8.91353022710311,9.63515988167348,"0.4% (-8.9% to 9.6%)"
"Infection, antenatal",1.55,1.24,1.92,1.47844334223579,1.21435286743967,1.77619893428064,0.4,0.160635367962595,0.0789701552848813,0.236920574681486,16.0635367962595,7.89701552848813,23.6920574681486,"16.1% (7.9% to 23.7%)"
"Prenatal maternal stress",1.45,1.25,1.68,1.39476721816083,1.22309197651663,1.58514492753623,0.25,0.0898266503239362,0.0528266913809082,0.127617542473331,8.98266503239362,5.28266913809082,12.7617542473331,"9.0% (5.3% to 12.8%)"
"Preterm delivery",1.074,1.072,1.075,1.06705136153369,1.06525057237344,1.06795151996821,0.0963,0.00641562016045773,0.00624439266572969,0.00650118933631714,0.641562016045773,0.624439266572969,0.650118933631714,"0.6% (0.6% to 0.7%)"
"Smoking, prenatal",1.85,1.35,2.53,1.72125046520283,1.30966239813737,2.22978213354015,0.084,0.0571241690621632,0.0253521893834871,0.0936296022118428,5.71241690621632,2.53521893834871,9.36296022118428,"5.7% (2.5% to 9.4%)"
"Vitamin D sufficient in utero",0.84,0.7,1.01,0.851996105160662,0.7189811010682,1.00911198145632,0.72,-0.119272854091286,-0.253656928592031,0.00651786536732879,-11.9272854091286,-25.3656928592031,0.651786536732879,"-11.9% (-25.4% to 0.7%)"
"Vitamin E maternal intake",0.98,0.96,0.99,0.98172784100016,0.963391136801541,0.990871967331251,0.198,-0.00363102411867396,-0.00730148009269505,-0.00181062289855603,-0.363102411867396,-0.730148009269505,-0.181062289855603,"-0.4% (-0.7% to -0.2%)"
"Acetaminophen, infant",1.47,1.36,1.56,1.41161557962664,1.3182382133995,1.48673376029277,0.878,0.265461203688844,0.21839165172463,0.299402088076631,26.5461203688844,21.839165172463,29.9402088076631,"26.5% (21.8% to 29.9%)"
"Antibiotic use, infant",1.27,1.12,1.43,1.24052512307572,1.10829639012033,1.3778617127881,0.66,0.136998532553573,0.0667076472048515,0.199608596079051,13.6998532553573,6.67076472048515,19.9608596079051,"13.7% (6.7% to 20.0%)"
"Breastfeeding, ever",0.88,0.82,0.95,0.889391979301423,0.833197854007478,0.954198473282443,0.819,-0.0996115796354212,-0.158226420366708,-0.038973399108545,-9.96115796354212,-15.8226420366708,-3.8973399108545,"-10.0% (-15.8% to -3.9%)"
"RSV infection, infant",3.84,3.23,4.58,3.07219662058372,2.70012706480305,3.48278379364886,0.2,0.293006081668115,0.253745495922625,0.331799482935237,29.3006081668115,25.3745495922625,33.1799482935237,"29.3% (25.4% to 33.2%)"
"Allergic rhinitis, mold",1.09,0.9,1.32,1.08143503452655,0.907990314769976,1.28384687208217,0.043,0.00348948732425025,-0.00397213187283344,0.0120582396741176,0.348948732425025,-0.397213187283344,1.20582396741176,"0.3% (-0.4% to 1.2%)"
"Food sensitization <=2 years",2.8,2.1,3.9,2.4171270718232,1.91466083150985,3.10707456978968,0.058,0.075950724178949,0.0503777709436377,0.10890144415896,7.5950724178949,5.03777709436377,10.890144415896,"7.6% (5.0% to 10.9%)"
"Fruit intake, adequate",0.98,0.96,1,0.98172784100016,0.963391136801541,1,0.498,-0.00918309709703367,-0.0185697631972493,0,-0.918309709703367,-1.85697631972493,0,"-0.9% (-1.9% to 0.0%)"
"Obesity, BMI >95th percentile",1.46,1.36,1.57,1.40319852375827,1.3182382133995,1.49501028414718,0.094,0.0365166558312448,0.0290455131904047,0.0444621021164069,3.65166558312448,2.90455131904047,4.44621021164069,"3.7% (2.9% to 4.4%)"
"Overweight, BMI 85-94th percentile",1.23,1.17,1.29,1.2055986826629,1.15275478836604,1.25789843201498,0.139,0.0277841941632289,0.0207914524286178,0.0346072842077296,2.77841941632289,2.07914524286178,3.46072842077296,"2.8% (2.1% to 3.5%)"
"Rhinovirus-induced wheezing <=3 years",2,1.62,2.49,1.83823529411765,1.53618570778334,2.20135794610651,0.158,0.116951925823962,0.0781008457805805,0.159532890743199,11.6951925823962,7.81008457805805,15.9532890743199,"11.7% (7.8% to 16.0%)"
