Age,Intervention,Metric,value
0,no intervention,Hospitalizations,5374.294933
1,no intervention,Hospitalizations,9496.623433
2,no intervention,Hospitalizations,6809.475967
3,no intervention,Hospitalizations,4763.5796
4,no intervention,Hospitalizations,4152.864267
5,no intervention,Hospitalizations,3328.398567
6,no intervention,Hospitalizations,2931.4336
7,no intervention,Hospitalizations,2442.861333
8,no intervention,Hospitalizations,2229.110967
9,no intervention,Hospitalizations,2565.0044
10,no intervention,Hospitalizations,1832.146
11,no intervention,Hospitalizations,1832.146
0,RSVpreF,Hospitalizations,3548.179671
1,RSVpreF,Hospitalizations,6747.644898
2,RSVpreF,Hospitalizations,5268.441115
3,RSVpreF,Hospitalizations,3925.239567
4,RSVpreF,Hospitalizations,3536.134665
5,RSVpreF,Hospitalizations,3328.398567
6,RSVpreF,Hospitalizations,2931.4336
7,RSVpreF,Hospitalizations,2442.861333
8,RSVpreF,Hospitalizations,2229.110967
9,RSVpreF,Hospitalizations,2565.0044
10,RSVpreF,Hospitalizations,1832.146
11,RSVpreF,Hospitalizations,1832.146
0,Nirsevimab,Hospitalizations,2858.91133
1,Nirsevimab,Hospitalizations,5454.750327
2,Nirsevimab,Hospitalizations,4597.511507
3,Nirsevimab,Hospitalizations,3470.206192
4,Nirsevimab,Hospitalizations,3064.602763
5,Nirsevimab,Hospitalizations,2469.051068
6,Nirsevimab,Hospitalizations,2164.262495
7,Nirsevimab,Hospitalizations,1803.10297
8,Nirsevimab,Hospitalizations,1744.64491
9,Nirsevimab,Hospitalizations,2270.246136
10,Nirsevimab,Hospitalizations,1728.274989
11,Nirsevimab,Hospitalizations,1791.093281
