Age,Intervention,Metric,value,LCL,UCL
0,Natural History,Hospitalizations,5374.29,4633.82,5925.77
1,Natural History,Hospitalizations,9496.62,8464.55,10193.04
2,Natural History,Hospitalizations,6809.48,6029.14,7310.96
3,Natural History,Hospitalizations,4763.58,4128.32,5222.15
4,Natural History,Hospitalizations,4152.86,3564.02,4547.88
5,Natural History,Hospitalizations,3328.40,2851.22,3735.39
6,Natural History,Hospitalizations,2931.43,2405.71,3350.38
7,Natural History,Hospitalizations,2442.86,1903.19,2886.70
8,Natural History,Hospitalizations,2229.11,1782.77,2659.25
9,Natural History,Hospitalizations,2565.00,2019.61,2986.79
10,Natural History,Hospitalizations,1832.15,1425.61,2221.20
11,Natural History,Hospitalizations,1832.15,1455.31,2244.69
0,RSVpreF,Hospitalizations,3548.18,2607.82,4640.71
1,RSVpreF,Hospitalizations,6747.64,5070.56,8449.68
2,RSVpreF,Hospitalizations,5268.44,4202.19,6338.04
3,RSVpreF,Hospitalizations,3925.24,3191.13,4678.26
4,RSVpreF,Hospitalizations,3536.13,2920.81,4097.33
5,RSVpreF,Hospitalizations,3328.40,2851.22,3735.39
6,RSVpreF,Hospitalizations,2931.43,2405.71,3350.38
7,RSVpreF,Hospitalizations,2442.86,1903.19,2886.70
8,RSVpreF,Hospitalizations,2229.11,1782.77,2659.25
9,RSVpreF,Hospitalizations,2565.00,2019.61,2986.79
10,RSVpreF,Hospitalizations,1832.15,1425.61,2221.20
11,RSVpreF,Hospitalizations,1832.15,1455.31,2244.69
0,Nirsevimab,Hospitalizations,2858.91,2475.39,3265.38
1,Nirsevimab,Hospitalizations,5454.75,4410.12,6370.28
2,Nirsevimab,Hospitalizations,4597.51,3384.43,5373.31
3,Nirsevimab,Hospitalizations,3470.21,2651.34,3979.82
4,Nirsevimab,Hospitalizations,3064.60,2372.08,3530.58
5,Nirsevimab,Hospitalizations,2469.05,1918.88,2810.45
6,Nirsevimab,Hospitalizations,2164.26,1623.65,2572.58
7,Nirsevimab,Hospitalizations,1803.10,1331.77,2162.86
8,Nirsevimab,Hospitalizations,1744.64,1285.60,2114.12
9,Nirsevimab,Hospitalizations,2270.25,1716.03,2622.08
10,Nirsevimab,Hospitalizations,1728.27,1326.16,2063.50
11,Nirsevimab,Hospitalizations,1791.09,1417.45,2189.27
