Age,Intervention,Metric,value
0,no intervention,Outpatient,42872.2164
1,no intervention,Outpatient,42872.2164
2,no intervention,Outpatient,42872.2164
3,no intervention,Outpatient,42872.2164
4,no intervention,Outpatient,42872.2164
5,no intervention,Outpatient,42872.2164
6,no intervention,Outpatient,22535.3958
7,no intervention,Outpatient,22535.3958
8,no intervention,Outpatient,22535.3958
9,no intervention,Outpatient,22535.3958
10,no intervention,Outpatient,22535.3958
11,no intervention,Outpatient,22535.3958
0,RSVpreF,Outpatient,29715.37451
1,RSVpreF,Outpatient,31663.7267
2,RSVpreF,Outpatient,34109.39955
3,RSVpreF,Outpatient,36057.75173
4,RSVpreF,Outpatient,37121.89628
5,RSVpreF,Outpatient,42872.2164
6,RSVpreF,Outpatient,22535.3958
7,RSVpreF,Outpatient,22535.3958
8,RSVpreF,Outpatient,22535.3958
9,RSVpreF,Outpatient,22535.3958
10,RSVpreF,Outpatient,22535.3958
11,RSVpreF,Outpatient,22535.3958
0,Nirsevimab,Outpatient,22806.31538
1,Nirsevimab,Outpatient,24625.30373
2,Nirsevimab,Outpatient,28945.76752
3,Nirsevimab,Outpatient,31231.85572
4,Nirsevimab,Outpatient,31637.51676
5,Nirsevimab,Outpatient,31803.1899
6,Nirsevimab,Outpatient,16637.76793
7,Nirsevimab,Outpatient,16633.6249
8,Nirsevimab,Outpatient,17637.64307
9,Nirsevimab,Outpatient,19945.73391
10,Nirsevimab,Outpatient,21257.78237
11,Nirsevimab,Outpatient,22030.44736
0,Combined,Outpatient,2358.579891
1,Combined,Outpatient,6094.238919
2,Combined,Outpatient,14945.73665
3,Combined,Outpatient,19463.14556
4,Combined,Outpatient,20361.33892
5,Combined,Outpatient,20734.1634
6,Combined,Outpatient,10740.14006
7,Combined,Outpatient,10731.854
8,Combined,Outpatient,12739.89034
9,Combined,Outpatient,17356.07203
10,Combined,Outpatient,19980.16893
11,Combined,Outpatient,21525.49892
0,no intervention,ED,14886.18625
1,no intervention,ED,14886.18625
2,no intervention,ED,14886.18625
3,no intervention,ED,14886.18625
4,no intervention,ED,14886.18625
5,no intervention,ED,14886.18625
6,no intervention,ED,8855.372333
7,no intervention,ED,8855.372333
8,no intervention,ED,8855.372333
9,no intervention,ED,8855.372333
10,no intervention,ED,8855.372333
11,no intervention,ED,8855.372333
0,RSVpreF,ED,10317.83837
1,RSVpreF,ED,10994.34955
2,RSVpreF,ED,11843.54151
3,RSVpreF,ED,12520.05268
4,RSVpreF,ED,12889.54732
5,RSVpreF,ED,14886.18625
6,RSVpreF,ED,8855.372333
7,RSVpreF,ED,8855.372333
8,RSVpreF,ED,8855.372333
9,RSVpreF,ED,8855.372333
10,RSVpreF,ED,8855.372333
11,RSVpreF,ED,8855.372333
0,Nirsevimab,ED,7918.859508
1,Nirsevimab,ED,8550.452682
2,Nirsevimab,ED,10050.61372
3,Nirsevimab,ED,10844.39435
4,Nirsevimab,ED,10985.24887
5,Nirsevimab,ED,11042.77427
6,Nirsevimab,ED,6537.876287
7,Nirsevimab,ED,6536.248268
8,Nirsevimab,ED,6930.781151
9,Nirsevimab,ED,7837.754519
10,Nirsevimab,ED,8353.329114
11,Nirsevimab,ED,8656.950859
0,Combined,ED,818.9513509
1,Combined,ED,2116.05518
2,Combined,ED,5189.491894
3,Combined,ED,6758.036653
4,Combined,ED,7069.909347
5,Combined,ED,7199.362292
6,Combined,ED,4220.38024
7,Combined,ED,4217.124202
8,Combined,ED,5006.189969
9,Combined,ED,6820.136704
10,Combined,ED,7851.285895
11,Combined,ED,8458.529386
0,no intervention,Hospitalizations,5374.294933
1,no intervention,Hospitalizations,9496.623433
2,no intervention,Hospitalizations,6809.475967
3,no intervention,Hospitalizations,4763.5796
4,no intervention,Hospitalizations,4152.864267
5,no intervention,Hospitalizations,3328.398567
6,no intervention,Hospitalizations,2931.4336
7,no intervention,Hospitalizations,2442.861333
8,no intervention,Hospitalizations,2229.110967
9,no intervention,Hospitalizations,2565.0044
10,no intervention,Hospitalizations,1832.146
