"","x"
"1",4161.32532216265
"2",6953.23444880149
"3",9763.98036661191
"4",10204.877547177
"5",8145.32713265513
"6",6619.54550881684
"7",3540.9425575473
"8",4470.28841181769
"9",7228.41371032456
"10",3656.02930450323
"11",2199.16567560128
"12",7523.50992241624
"13",2140.40438568243
"14",4154.1698488103
"15",1341.40700554178
"16",9833.66376602609
"17",4529.45681024401
"18",6989.63788732386
"19",5799.16138331691
"20",13883.0728147121
"21",1886.15001282812
"22",5731.42945050099
"23",4123.80675818678
"24",8807.99015232624
"25",8355.65420066385
"26",6772.00725903898
"27",5129.45956776995
"28",5185.40449260746
"29",4013.24568286614
"30",2764.44762149162
"31",9780.0529919251
"32",10840.6560335376
"33",6003.01919319591
"34",6213.15207288269
"35",5724.31317847222
"36",2968.87934582657
"37",3509.85982441198
"38",2488.02143346216
"39",5732.91098606586
"40",5834.62492840411
"41",5132.94495766208
"42",2567.99075987755
"43",2808.70464466192
"44",7728.66069108376
"45",2762.69187155896
"46",4770.93985018524
"47",9448.86087517865
"48",1041.2627574589
"49",6434.74954460218
"50",8237.56412502826
"51",11779.235998159
"52",2522.66809283954
"53",6426.19870005944
"54",5784.75780611741
"55",2162.53009551129
"56",8382.56591528602
"57",6045.86201604642
"58",6184.40019041172
"59",3199.28308966296
"60",8008.09865393222
"61",6008.27369090077
"62",3101.05026268866
"63",620.854572496086
"64",4056.25335598295
"65",5892.36439277412
"66",5107.63446683786
"67",2052.55170095549
"68",1648.51633042505
"69",8161.19156614254
"70",6431.29103268479
"71",4081.7537722842
"72",7957.71945674304
"73",5199.58756674896
"74",6174.65482477425
"75",6136.17978498159
"76",1484.2749541768
"77",7344.60798964609
"78",2248.04623842303
"79",5066.96483660873
"80",6607.58419294981
"81",6919.25068857096
"82",3430.26220866403
"83",5834.59382055746
"84",5138.49393752869
"85",5597.54950248788
"86",9695.12069887272
"87",9118.79606570117
"88",5351.07596634398
"89",3826.01898778952
"90",5121.12820680195
"91",5431.28684345761
"92",1583.06828802242
"93",5120.4545998032
"94",11910.6370319824
"95",5811.68284125661
"96",3213.79346600268
"97",7523.17045120063
"98",4023.38564351213
"99",4202.11219585431
"100",2057.76278359606
"101",5586.68881678121
"102",3362.98163100053
"103",3428.39595657395
"104",3853.28360693326
"105",7245.6926339647
"106",7962.71856795746
"107",3445.97358038189
"108",7181.94273839594
"109",2236.08366112428
"110",4290.97608447028
"111",5041.15038812114
"112",6624.68321529822
"113",5777.03277514927
"114",3138.7412076692
"115",7983.7770758734
"116",2263.0629042667
"117",7458.9326944226
"118",6135.05617939844
"119",4468.32883054105
"120",3148.96597640804
"121",4579.72973220673
"122",7019.07585794554
"123",6099.85411351029
"124",4011.67508451152
"125",6580.24563152704
"126",3642.87966064899
"127",3358.36558460305
"128",3575.10887371894
"129",5059.32384699438
"130",4333.89897524478
"131",3391.64211152232
"132",4591.55914021289
"133",3214.85716666083
"134",4202.30947903229
"135",8669.31125501933
"136",4239.26756371302
"137",5442.71134240832
"138",5912.9781762085
"139",4187.13990692433
"140",4315.96613163949
"141",9250.82419281517
"142",4350.32327329885
"143",7936.34611516778
"144",7084.77433302806
"145",4811.92804204836
"146",2591.9561042813
"147",7462.40199191001
"148",4520.18599016289
"149",7456.22069424688
"150",5961.72022452572
"151",5717.33998743293
"152",5761.10416150413
"153",5553.45635581249
"154",3063.91540654568
"155",4232.66915724974
"156",3747.0511836973
"157",7859.26027125353
"158",2325.72997952515
"159",5267.12680606684
"160",6398.78849571373
"161",5446.52509334643
"162",4760.6781998087
